ARTICULO;NOMBRE
101101;"Sopanda Intermedia VERSATEC ; L=2,00 m ; Blanco"
101041;"Arriostrador UNO97 ; L=4,00 m ; Naranja"
101051;"Arriostrador UNO97 ; L=2,00 m ; Naranja"
101061;"Arriostrador JACENA ; L=1,00 m ; Naranja"
101071;"Arriostrador QBETA1 ; L=4,00 m ; Verde"
101121;"Apeo UNO97 ; L=197 cm ; Naranja"
101131;"Apeo JACENA ; L=98 cm ; Naranja"
103011;"Puntal INDE-K 3m ; Ø48/40 e2/2.5mm"
103021;"Puntal INDE-K 4m ; Ø48/40 e2/2.5mm"
103031;"Puntal INDE-K 5m ; Ø60/52 e2/2.5mm"
103041;PUNTAL 3M
103051;PUNTAL 4M
102011;"Tablero Tricapa VERSATEC 197x50cm ; Amarillo (1ª)"
102021;TABLERO TRICAPA 1,97M JA
102041;"Tablero Tricapa VERSATEC 197x50cm ; Azul (1ª)"
102071;"Tablero Tricapa VERSATEC 98x50cm ; Amarillo (1ª)"
101141;"Apeo QBETA1 ; L=80 cm ; Naranja"
102081;"Tablero Tricapa VERSATEC 97x50cm ; Amarillo (1ª)"
101011;"Sopanda Extrema VERSATEC ; L=4,00 m ; Blanco"
101031;"Sopanda Extrema VERSATEC ; L=2,00 m ; Blanco"
101081;"Sopanda Intermedia VERSATEC ; L=4,00 m ; Blanco"
101091;"Sopanda Intermedia VERSATEC ; L=3,00 m ; Blanco"
201011;PERFIL EXTREMA 4M
201021;PERFIL EXTREMA 3M
104021;"Chapa Pilar INDE-K 50x60cm ; Amarillo"
103061;PUNTAL 5M
104011;"Chapa Pilar INDE-K 50x50cm ; Amarillo"
101022;"Sopanda Extrema VERSATEC ; L=3,00 m ; Blanco"
103161;"Puntal INDE-K 1m ; Ø48/40 e1.6/1.6mm"
101021;"Sopanda Extrema VERSATEC ; L=3,00 m ; Blanco"
101301;"Apeo JACENA c/Tapa ; L=98 cm ; Naranja"
101012;"Sopanda Extrema VERSATEC ; L=4,00 m ; Blanco"
101032;"Sopanda Extrema VERSATEC ; L=2,00 m ; Blanco"
101042;"Arriostrador UNO97 ; L=4,00 m ; Naranja"
101052;"Arriostrador UNO97 ; L=2,00 m ; Naranja"
101062;"Arriostrador JACENA ; L=1,00 m ; Naranja"
101072;"Arriostrador QBETA1 ; L=4,00 m ; Verde"
101082;"Sopanda Intermedia VERSATEC ; L=4,00 m ; Blanco"
101092;"Sopanda Intermedia VERSATEC ; L=3,00 m ; Blanco"
101102;"Sopanda Intermedia VERSATEC ; L=2,00 m ; Blanco"
101122;"Apeo UNO97 ; L=197 cm ; Naranja"
101302;"Apeo JACENA c/Tapa ; L=98 cm ; Naranja"
101132;"Apeo JACENA ; L=98 cm ; Naranja"
205101;PINTAR SOPORTE DE 1,97M NARANJA
101142;"Apeo QBETA1 ; L=80 cm ; Naranja"
108032;"Guardacuerpo Fijo INDE-K ; L=120 cm ; Clase A"
102132;Tablero Seguridad VERSATEC 197x50cm  C-2
102142;Tablero Tricapa VERSATEC 197x50cm (Remate)
103012;"Puntal INDE-K 3m ; Ø48/40 e2/2.5mm"
103022;"Puntal INDE-K 4m ; Ø48/40 e2/2.5mm"
201031;PERFIL EXTREMA 2M
103032;"Puntal INDE-K 5m ; Ø60/52 e2/2.5mm"
201041;PERFIL ARRIOSTRADOR 4M.
201051;PERFIL ARRIOSTRADOR 2M.
201071;PERFIL ARRIOSTRADOR CUBETAS 4M
201081;PERFIL INTERMEDIA 4M.
201091;PERFIL INTERMEDIA 3M
201101;PERFIL INTERMEDIA 2M
201111;PERFIL 50X27X2X1968
201121;PERFIL 50X27X2X1965
201131;PERFIL 50X27X2X968
201141;PERFIL 60X25X2X800
201151;M.L. PERFIL 40X40X2X6000
201161;M.L. PERFIL REDONDO 25X2X600
204031;M.L. PERFIL REDONDO 30X1,5X6000
204021;M.L. PERFIL 100X40X2X6000
204011;M.L. PERFIL BASTIDOR MURO
204041;M.L. PERFIL 50X50X4X6000
204051;M.L. PERFIL 40X40X4X6000
204061;M.L. PLETINA 50X5X6000
